Name,URL,ShortURL
1. Policy Managment Systems & OPA,https://docs.google.com/presentation/d/16GmFnAiLyLiP3LISbtFMvHYWtJIsB_wcSFJQU8oDHPI/edit#slide=id.g24bd2830f6e_0_125 ,
5G MEC on Wheels,https://docs.google.com/presentation/d/1Mnsx7p49mz9xP85rQtkora3YxobdLMsrRpFk0zX8c5E/edit ,
Disprotrack,https://docs.google.com/presentation/d/1xbSE_v0gd2U_PnjyYjgXmIdGsIKuizC9-TVzmYvWYjU/edit,
Internet technologies-Module-1.1,https://docs.google.com/presentation/d/1xmPlbcSkp8AVeZ2y9B44_5zellDEiFvkSqkFlv2rz3o/edit ,
LinuxShellTutorial,https://docs.google.com/presentation/d/1gfXkVmR3ouzDly_9hpxzP4U1PKbZu_X_-QwtJSogPhg/edit ,
Mininet: Hands on,https://docs.google.com/presentation/d/1sDxGwfknn2bpnMt7OFt3IB1KFTc6rNOZ-SHTRDp8C9g/edit#slide=id.p1,
NetworkDebugging,https://docs.google.com/presentation/d/1AjA4jYZxVjnUrvLyvCZVwiUuKY9338SIzXPJrgWSs5c/edit ,
ProtocolStack_And_NetworkDebugging,https://docs.google.com/presentation/d/1reqzR2sGR0wgqyQ5bH_uKorMVSrjF89P4ckFTTMGljM/edit#slide=id.p1 ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,https://goo.by/ZbtFlm,